Author		Title	Additional Authors	Current Location	Has Daniel read?	Has Rebca read?
Richard	Feynman	The Character of Physical Law		Basement, lower shelves	0	0
Clarice	Yentsch	The Woman Scientist	Sindermann, Carl	Basement, lower shelves	0	0
EL	James	Fifty Shades Darker		Basement, lower shelves	0	1
Tara Sue	Me	The Submissive		Basement, lower shelves	0	0
Arthur	Golden	Memoirs of a Geisha		Basement, lower shelves	0	0
Perri	O'Shaugnessy	Breach of Promise		Basement, lower shelves	0	0
Rosie	O'Donnell	Find Me		Basement, lower shelves	0	0
Mark	Schweizer	The Baritone Wore Chiffon		Basement, lower shelves	0	0
Victoria	Secunda	Women and their Fathers		Basement, lower shelves	0	0
Debbi	Macomber	Rose Harbor in Bloom		Basement, lower shelves	0	0
Danielle	Steel	Malice		Basement, lower shelves	0	0
Chevy	Stevens	Those Girls		Basement, lower shelves	0	0
Suzanne	Matson	The Hunger Moon		Basement, lower shelves	0	0
Elizabeth	Strout	My Name is Lucy Barton		Basement, lower shelves	0	0
Marlo	Morgan	Mutant Message Down Under		Basement, lower shelves	0	0
Lorrie	Moore	Who Will Run the Frog Hospital?		Basement, lower shelves	0	0
Eustace	Chesser	Life is for Living		Basement, lower shelves	0	0
Joy	Fielding	Missing Pieces		Basement, lower shelves	0	0
Alisa	Valdes-Rodriguez	Playing with Boys		Basement, lower shelves	0	0
John	Grisham	The Rainmaker		Basement, lower shelves	0	0
Robert J.	Wiersema	Before I Wake		Basement, lower shelves	0	0
Shelley	Noble	Beach		Basement, lower shelves	0	0
Kathleen Gilles	Seidel	A Most Uncommon Degree of Popularity		Basement, lower shelves	0	0
Billie	Letts	Where the Heart Is		Basement, lower shelves	0	0
Kathryn	Cushman	A Promise to Remember		Basement, lower shelves	0	0
Nicholas	Sparks	The Lucky One		Basement, lower shelves	0	0
Dee	Henderson	The Marriage Wish		Basement, lower shelves	0	0
Helen	Fielding	Bridget Jones The Edge of Reason		Basement, lower shelves	0	0
Kristen D.	Randle	Slumming		Basement, lower shelves	0	0
John	Knowles	A Separate Peace		Basement, lower shelves	1	0
Kate	McMullan	The Story of Harriet Tubman		Basement, lower shelves	0	0
Polly	Horvath	The Vacation		Basement, lower shelves	0	0
Daniel J.	Levitin	This is Your Brain on Music		Basement, lower shelves	0	0
Arthur	Miller	Death of a Salesman		Basement, lower shelves	0.5	0
Sandra	Martz	When I am an Old Woman, I Shall Wear Purple		Basement, lower shelves	0	0
Wally	Lamb	She's Come Undone		Basement, lower shelves	0	0
Lisi	Harrison	Alphas		Basement, lower shelves	1	0
Greg	Behrendt	He's Just Not That Into You	Tuccillo, Liz	Basement, lower shelves	0	0
Emily	Giffin	Love the One You're With		Basement, lower shelves	0	0
Anne	Brashares	The Second Summer of the Sisterhood		Basement, lower shelves	0	0
James	Grippando	Last to Die		Basement, lower shelves	0	0
Zoey	Dean	Blonde Ambition		Basement, lower shelves	0	0
Christina Baker	Kline	Orphan Train		Basement, lower shelves	0	0
Kate	DiCamillo	Because of Winn-Dixie		Basement, lower shelves	0	1
Aldous	Huxley	Brave New World		Basement, lower shelves	1	0
Fawn	Germer	Hard Won Wisdom		Study room	0	0
John	Green	Looking For Alaska		Study room	1	1
Jeanne	Safer	Beyond Motherhood		Study room	0	0
Fredrik	Backman	A Man Called Ove		Study room	1	0
Alice	Schroeder	The Snowball		Study room	0	0
George R.R.	Martin	A Clash of Kings		Study room	0	0
Brian	Tracy	Eat That Frog		Study room	0	0
Susanna	Clarke	Jonathan Strange and Mr. Norrell		Study room	0.5	0
Anthony	Doerr	All the Light We Cannot See		Study room	0.5	0.5
Frank	Dikotter	The Tragedy of Liberation		Study room	0	0
Frank	Dikotter	Mao's Great Famine		Study room	0	0
Frank	Dikotter	The Cultural Revolution		Study room	0	0
Chinua	Achebe	Things Fall Apart		Study room	0.5	1
Bo	Burlingham	Small Giants		Study room	0	0
Rolf	Dobelli	The Art of Thinking Clearly		Study room	0	0
Julie	Otsuka	The Buddha in the Attic		Study room	1	0
Erik	Larson	The Devil in the White City		Study room	1	0
Drew	Carey	Dirty Jokes and Beer		Study room	0	0
Herman	Wouk	Marjorie Morningstar		Study room	0	0
Nassim Nicholas	Taleb	Fooled by Randomness		Study room	0	0
Liane	Moriarty	Big Little Lies		Study room	0	0
Michelle	Obama	Becoming		Study room	0	0
Amy	Schumer	The Girl with the Lower Back Tattoo		Study room	0	0
Lee	Eisenberg	The Number		Study room	0	0
Sam	Kean	The Best American Science and Nature Writing 2018	Folger, Tim	Study room	0	0
Donna	Tartt	The Secret History		Study room	1	0
Simon	Singh	The Code Book		Study room	0.5	0
Colson	Whitehead	The Underground Railroad		Study room	0	0
David Foster	Wallace	Infinite Jest		Study room	0.5	0
Andrew A.	Rooney	And More By Andy Rooney		Study room	0	0
Edward P.	Jones	The Known World		Upstairs office	1	0
Alice	Munro	Dear Life		Upstairs office	1	0
Alice	Munro	Hateship, Friendship, Courtship, Loveship, Marriage		Upstairs office	1	0
Paul	Halpern	The Quantum Labyrinth		Upstairs office	0	0
Neil	Gaiman	American Gods		Upstairs office	1	0
Heather	Morris	The Tattooist of Auschwitz		Upstairs office	1	0
Kurt	Vonnegut, Jr.	Slaughterhouse-Five		Upstairs office	0	1
Christopher	Paolini	Eragon		Upstairs office	1	0
Christopher	Paolini	Eldest		Upstairs office	1	0
Dale	Carnegie	How to Win Friends and Influence People		Upstairs office	0	0
Cathy	O'Neil	Weapons of Math Destruction		Upstairs office	1	1
Haruki	Murakami	1Q84		Upstairs office	1	0.5
Dante	Alighieri	The Inferno		Upstairs office	1	0.5
Robert M.	Pirsig	Zen and the Art of Motorcycle Maintenance		Upstairs office	0	0
Patrick	Rothfuss	The Wise Man's Fear		Upstairs office	1	1
Marion	Winik	Telling		Upstairs office	0	0
Danielle	Steel	The Gift		Upstairs office	0	0
Linda	Howard	Open Season		Upstairs office	0	0
John	Grisham	The Runaway Jury		Upstairs office	1	0
Jonathan	Kellerman	The Conspiracy Club		Upstairs office	0	0
Olive Ann	Burns	Leaving Cold Sassy		Basement, right shelves	0	0
James	Patterson	Suzanne's Diary for Nicholas		Basement, right shelves	0	0
A.J.	Jacobs	The Guinea Pig Diaries		Basement, right shelves	0	0
Olive Ann	Burns	Cold Sassy Tree		Basement, right shelves	0	0
Jhumpa	Lahiri	Interpreter of Maladies		Basement, right shelves	0	0
John	Case	The Eighth Day		Basement, right shelves	0	0
Tana	French	In The Woods		Basement, right shelves	0	0
Dan	Brown	Inferno		Basement, right shelves	1	0.5
Junot	Diaz	Drown		Basement, right shelves	1	0
Zachary	Mason	The Lost Books of the Odyssey		Basement, right shelves	0	0
Ayn	Rand	The Fountainhead		Basement, right shelves	1	0
Chimamanda Ngozi	Adichie	Half of a Yellow Sun		Basement, right shelves	0	1
Eileen	Goudge	Once in a Blue Moon		Basement, right shelves	0	0
Frank	McCourt	Angela's Ashes		Basement, right shelves	0	0
Jodi	Picoult	Perfect Match		Basement, right shelves	0	0
Hans	Kmoch	Pawn Power in Chess		Basement, right shelves	1	0
Jeffrey	Eugenides	Middlesex		Basement, right shelves	0	0
	Avi	Nothing But the Truth		Basement, right shelves	0	0
Jennifer	Sturman	The Pact		Basement, right shelves	0	0
A.S.	Byatt	Still Life		Basement, right shelves	0	0
Lisa	See	Snow Flower and the Secret Fan		Basement, right shelves	0	0
Dalia	Sofer	The Septembers of Shiraz		Basement, right shelves	0	0
Candace	Bushnell	Trading Up		Basement, right shelves	0	0
John	Steinbeck	Of Mice and Men		Basement, right shelves	1	0
Anita	Shreve	The Weight of Water		Basement, right shelves	0	0
Ali	Smith	The Accidental		Basement, right shelves	0	0
Nicolle	Wallace	Eighteen Acres		Basement, right shelves	0	0
Sarah Addison	Allen	The Sugar Queen		Basement, right shelves	0	0
Erik	Larson	The Devil in the White City		Basement, right shelves	1	0
Sue	Townsend	Adrian Hole, The Lost Years		Basement, right shelves	0	0
	Sophocles	Antigone		Basement, right shelves	0	0
Jane	Yolen	The Devil's Arithmetic		Basement, right shelves	0	0
Stieg	Larsson	The Girl who Played with Fire		Basement, right shelves	1	0
Stieg	Larsson	The Girl with the Dragon Tattoo		Basement, right shelves	1	0
Sally	Mandel	Change of Heart		Basement, right shelves	0	0
Dominick	Dunne	An Inconvenient Woman		Basement, right shelves	0	0
Julia	Harper	Hot		Basement, right shelves	0	0
